ccode,cname,ccode_qog,cname_qog,ccodealp,ccodecow,version,ajr_settmort,atop_ally,atop_number,bci_bci,bicc_gmi,bmr_dem,bmr_demdur,bti_aar,bti_acp,bti_aod,bti_cdi,bti_ci,bti_cps,bti_cr,bti_ds,bti_eo,bti_eos,bti_ep,bti_ffe,bti_foe,bti_ij,bti_mes,bti_muf,bti_pdi,bti_pp,bti_prp,bti_ps,bti_rol,bti_sdi,bti_seb,bti_sel,bti_sop,bti_ssn,bti_su,bti_wr,cbie_index,ccp_cc,ccp_childwrk,ccp_equal,ccp_freerel,ccp_slave,ccp_strike,ciri_assn,ciri_dommov,ciri_formov,ciri_injud,ciri_physint,ciri_polpris,ciri_speech,ciri_tort,cpds_enps,cpds_enpv,cpds_la,cpds_lall,cpds_lcom,cpds_lcon,cpds_le,cpds_lfe,cpds_lg,cpds_ll,cpds_lls,cpds_lmo,cpds_lnl,cpds_lo,cpds_lp,cpds_lpc,cpds_lpen,cpds_lper,cpds_lr,cpds_lreg,cpds_lrel,cpds_ls,cpds_tg,cpds_vt,cri_contr,cses_pc,cses_sd,cspf_sfi,dr_eg,dr_ig,dr_pg,dr_sg,ef_ef,egov_egov,ens_brdep,ens_cor,ens_law,epi_eh,epi_epi,ess_happy,ess_health,ess_relig,ess_trlegal,ess_trparl,ess_trpart,ess_trpeople,ess_trpolice,ess_trpolit,fh_aor,fh_cl,fh_ep,fh_feb,fh_fog,fh_pair,fh_pr,fh_rol,fh_status,fhn_fotnsc,fhn_fotnst,fi_ftradeint,fi_index,gd_ptsa,gd_ptsh,gdg_total,gendip_afrp,gendip_afsp,gfs_rcr,gii_gii,gpi_gpi,ht_colonial,ht_region,ibp_obi,icrg_qog,ideavt_legvt,ideavt_presvt,iiag_be,iiag_edu,iiag_gov,iiag_hd,iiag_he,iiag_inf,iiag_srol,ipu_l_sw,ipu_u_sw,jht_ccc,jht_ccd,lis_gini,mad_gdppc,mad_gdppc1900,nelda_mbbe,nelda_mtop,nelda_oa,nelda_rpae,nunn_desert,nunn_dist_coast,nunn_tropical,ohi_ohi,p_durable,p_polity2,pei_eir,pei_peii,pwt_hci,pwt_pop,rd_inw,rsf_pfi,sci_comp,sgi_ec,sgi_ecbg,sgi_ecec,sgi_eclm,sgi_ectx,sgi_en,sgi_enen,sgi_enge,sgi_qd,sgi_qdep,sgi_so,sgi_soed,sgi_sofa,sgi_sogi,sgi_sohe,sgi_soin,sgi_sope,sgi_sosi,sgi_sosl,ti_cpi,top_top10_income_share,top_top1_income_share,undp_hdi,van_index,vdem_corr,vdem_delibdem,vdem_egaldem,vdem_gender,vdem_libdem,vdem_mecorrpt,vdem_partipdem,vdem_polyarchy,voh_gti,wbgi_cce,wbgi_gee,wbgi_pve,wbgi_rle,wdi_acel,wdi_acelr,wdi_acelu,wdi_afp,wdi_agedr,wdi_araland,wdi_area,wdi_armexp,wdi_armimp,wdi_birth,wdi_bribfirm,wdi_broadb,wdi_busden,wdi_co2,wdi_death,wdi_debt,wdi_eduprp,wdi_eduprs,wdi_emp,wdi_empagr,wdi_empagrf,wdi_empagrm,wdi_empind,wdi_empindf,wdi_empindm,wdi_empser,wdi_empserf,wdi_empserm,wdi_expedu,wdi_expeduge,wdi_expedup,wdi_expedus,wdi_expedut,wdi_expmil,wdi_fdiin,wdi_fdiout,wdi_fertility,wdi_firftopm,wdi_firgifttax,wdi_forest,wdi_gdpagr,wdi_gdpcapcon2015,wdi_gdpcappppcon2017,wdi_gdpind,wdi_gerp,wdi_gerpp,wdi_gers,wdi_gert,wdi_gini,wdi_homicides,wdi_idpdis,wdi_idpvc,wdi_idpvp,wdi_infpay,wdi_internet,wdi_lfpf,wdi_lifexp,wdi_lifexpf,wdi_lifexpm,wdi_litrad,wdi_litradf,wdi_litradm,wdi_litry,wdi_migration,wdi_nerp,wdi_ners,wdi_pop,wdi_pop14,wdi_pop1564,wdi_pop65,wdi_popden,wdi_poprul,wdi_popurb,wdi_refasy,wdi_refori,wdi_semp,wdi_smokf,wdi_smokm,wdi_spr,wdi_tacpsr,wdi_taxrev,wdi_tele,wdi_trade,wdi_unempfilo,wdi_unempilo,wdi_unempmilo,wdi_unempyfilo,wdi_unempyilo,wdi_unempymilo,wdi_wip,wef_ci,wef_elec,wef_gci,wef_mobile,wef_oc,wef_pr,wef_qoi,wef_wlf,who_halet,who_sanittot,whr_hap,wjp_abs_cor,wjp_civ_just,wjp_cj_cor,wjp_crim_jus,wjp_crsys_cor,wjp_exec_br,wjp_gov_pow,wjp_jud_br,wjp_leg_br,wjp_ord_secur,wjp_pol_mil,wvs_confaf,wvs_confch,wvs_confcs,wvs_confgov,wvs_confjs,wvs_conflu,wvs_confpar,wvs_confpol,wvs_confpp,wvs_confpr,wvs_conftv,wvs_demimp,wvs_democ,wvs_godbel,wvs_hap,wvs_imprel,wvs_pmi12,wvs_psarmy,wvs_psdem,wvs_psexp,wvs_pssl,wvs_relacc,wvs_satfin,wvs_subh,wvs_trust
4,Afghanistan,4,Afghanistan,AFG,700,QoGBasCSjan24,4.5400982,1,1,70.428818,158.1878509521484,0,221,4,3,NA,3,9,4,2,3.083333253860474,3,3,3,3,4,3,2.75,2,3,3.25,3,3,3,3,1,1,4,2,2.5,2.5,0.8700000047683716,1,1,1,1,2,3,1,1,2,0,2,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,28.830755,37.2551,45.353821,35.378849,0.84555429,0.271,NA,NA,NA,16,43.599998,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,3,6,3,2,5,2,3,NA,NA,NA,NA,5,5,NA,6,19,0.6627445220947266,0.67400002,3.581000089645386,0,8,43,NA,45.22999954223633,19,NA,NA,NA,NA,NA,NA,NA,27,27.89999961853027,52330,2189,NA,1934.555053710938,NA,0,1,1,1,4.355736143291409,0.9224445132674084,0,NA,4,-1,2.9444444,NA,NA,NA,788917120,38.27000045776367,-2.6441286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,0.41010001,0.1508,0.48300001,11.29300022125244,0.8690000176429749,0.2849999964237213,0.1889999955892563,0.5529999732971191,0.1969999969005585,2.930000066757202,0.1410000026226044,0.3560000061988831,9.05633544921875,-1.4936998,-1.6095092,-2.7026317,-1.8313743,97.6999969482422,97.06671142578124,99.5,1.812045216560364,85.95954895019531,12.00343418121338,652230,NA,234000000,36.05099868774414,NA,0.0681767463684082,0.2116511166095734,0.2234788686037064,7.11299991607666,NA,7.298679828643799,4.458119869232178,1.643259048461914,45.9834098815918,53.91368103027344,44.16463851928711,18.48130989074707,26.4183406829834,16.66098976135254,35.5352783203125,19.6679801940918,39.17436981201172,4.34319019317627,8.202471733093262,44.19060134887695,22.25369071960449,NA,1.358856916427612,0.0643889084458351,0.1848167777061462,4.75,NA,NA,1.852782011032104,26.82060050964355,553.0361328125,1968.340942382813,14.03169918060303,110.0075073242188,NA,57.03929901123047,10.85844039916992,NA,6.594439029693604,49000,404000,3547000,NA,18.39999961853027,19.79348564147949,62.57500076293945,65.43199920654297,59.86600112915039,37.26604080200195,22.60078048706055,52.06343078613281,55.92940139770508,166821,NA,50.14070129394531,38972232,43.80791091918945,53.7751350402832,2.416953086853027,59.75228118896484,73.9739990234375,26.02599906921387,72278,2594827,84.33394622802734,7.199999809265137,39.40000152587891,2.5,2,9.89845085144043,0.3740791976451874,NA,16.78300094604492,11.71000003814697,10.45800018310547,21.22800064086914,16.05299949645996,14.45199966430664,27.01612854003906,NA,NA,NA,NA,NA,NA,NA,NA,53.90000152587891,NA,2.436034440994263,0.3040972352027893,0.3707886338233948,0.1718000769615173,0.3066800534725189,0.2640434801578522,0.3773871660232544,0.4368115961551666,0.1916318535804749,0.2398272305727005,0.2881960272789001,0.4075427055358887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Albania,8,Albania,ALB,339,QoGBasCSjan24,NA,1,8,56.959972,103.9073257446289,1,24,10,6,8,8,4,7,8,7.099999904632568,7,6,6,7,7,5,6.25,10,5,7.75,6,6,5.5,6.5,5,5,5,6,5,6.5,0.7285000085830688,2,1,1,1,2,1,2,1,2,0,7,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45308742,1.7844552,1,63.48341,63.897182,62.827446,65.380676,2.0007901,0.74129999,30,43.40000152587891,40,40,47.099998,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,3,8,13,7,9,3,9,2,NA,NA,8.43751335144043,7.590000152587891,2,NA,30.55555534362793,26,25,1.280524492263794,0.156,1.77400004863739,0,1,52,0.47222221,46.31999969482422,NA,NA,NA,NA,NA,NA,NA,NA,29.5,NA,58316,1181,NA,11104.166015625,1092,0,1,1,0,0,0.0478929296146633,0,70.37999725341797,21,9,5.5521154,45.898121,2.964992,2.880917072296143,1465987200,56.40999984741211,0.14306504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,0.3168,0.079999998,0.79400003,27.29759979248047,0.7239999771118164,0.2599999904632568,0.363999992609024,0.8939999938011169,0.4169999957084656,2.069999933242798,0.3030000030994415,0.4930000007152557,0,-0.57292449,-0.15488033,0.088576451,-0.37624919,100,100,100,0.5937092304229736,47.69663238525391,21.88321113586426,27400,NA,1000000,10.28499984741211,36.09999847412109,17.75249290466309,1.524836182594299,1.544550061225891,10.78499984741211,83.88749694824219,9.046059608459473,9.930150032043455,2.957865953445435,35.54196929931641,40.16925048828125,31.90930938720703,20.78153991699219,16.81282997131348,23.89706039428711,43.67657089233398,43.01792144775391,44.19361877441406,3.342299938201904,10.13438320159912,57.60766983032227,21.5625,18.85009002685547,1.298479080200195,7.055092334747314,0.3304034769535065,1.399999976158142,18.10000038146973,34.59999847412109,28.79197120666504,19.22522354125977,4418.66064453125,13278.3701171875,20.11453056335449,100.6136016845703,75.14018249511719,96.16747283935548,61.392578125,29.39999961853027,2.127772092819214,250,NA,NA,31.60000038146973,72.23767852783203,43.8228645324707,76.98899841308594,79.6760025024414,74.63200378417969,98.5,98.3000030517578,98.6999969482422,99.5,-9117,94.5296630859375,86.60826873779297,2837849,16.47151947021484,67.70636749267578,15.82211303710938,103.5711288452148,37.88800048828125,62.11199951171875,105,15523,54.17132949829102,6,38.79999923706055,NA,NA,16.98326301574707,7.794937133789063,59.82973098754883,12.75800037384033,13.06700038909912,13.30799961090088,30.11199951171875,30.84600067138672,31.3430004119873,29.5081958770752,29.7581958770752,92.52799224853516,57.61417007446289,94.177001953125,3.781720399856567,3.30469012260437,35.46875381469727,0.797844409942627,69.0999984741211,53,5.364909648895264,0.3671053349971771,0.4760761559009552,0.2815617620944977,0.4260990619659424,0.3290095329284668,0.3870750367641449,0.4525991976261139,0.3243510127067566,0.2349138557910919,0.7851267457008362,0.5220814943313599,2.7165589,2.5525737,2.1625903,1.5847586,1.8576866,1.5679805,1.3781805,2.585947,1.351408,1.8323277,NA,9.6376514,3.9559238,0.9705652,2.8711927,2.8693283,NA,1.5964851,3.849031,3.475513,1.7441964,NA,NA,3.4887583,0.027856566
12,Algeria,12,Algeria,DZA,615,QoGBasCSjan24,4.3592696,1,9,49.415615,261.4327087402344,0,59,5,5,NA,2,5,6.5,5,4.650000095367432,5,6,6,4,4,4,5.428571224212646,9,3,3.75,5,4,4.25,2.5,5,5,4,7,5,6,0.5024999976158142,1,1,1,1,96,1,1,1,1,0,6,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,33.879074,54.408302,79.707893,49.637932,2.2070408,0.56110001,NA,NA,NA,42,29.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,3,6,3,7,6,6,3,NA,NA,3.757921934127808,4.940000057220459,3,4,3.333333253860474,19,10,NA,0.44,2.186000108718872,6,3,3,0.44444445,23.03000068664551,39.88000106811523,39.59999847412109,76.69999694824219,56,73,74.69999694824219,68.9000015258789,52.59999847412109,25.79999923706055,5.699999809265137,99610,2756,NA,14228.025390625,NA,1,1,1,1,23.27713605377173,0.7522285126240592,0,65.20999908447266,14,2,4.1944442,44.132652,2.3839655,43.05305480957031,1699608960,45.52999877929688,-0.84762532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,0.38080001,0.099100001,0.736,10.41234970092773,0.6890000104904175,0.1889999955892563,0.2540000081062317,0.7739999890327454,0.1519999951124191,2.359999895095825,0.1129999980330467,0.2790000140666962,4.326212406158447,-0.66646022,-0.57343346,-0.84781432,-0.80030298,99.7187728881836,99.12109375,99.93169403076172,2.749240636825562,57.88946533203125,3.161804676055908,2381741,NA,675000000,22.43099975585938,NA,8.72339153289795,0.3532967269420624,3.718223333358765,5.39799976348877,NA,1.292819976806641,1.355909943580627,4.448474884033203,10.52449989318848,3.867479085922241,11.92249011993408,30.49271965026855,24.42917060852051,31.76609039306641,58.98276138305664,71.70340728759766,56.31143188476563,7.042397499084473,16.54917144775391,NA,NA,NA,6.692468166351318,0.7848833203315735,0.0100212730467319,2.941999912261963,NA,NA,0.81830894947052,13.78400611877441,3873.5087890625,10844.7705078125,32.5195198059082,110.33056640625,NA,105.9325485229492,53.61402893066406,NA,1.505120635032654,9600,NA,NA,NA,63.94999694824219,19.2296142578125,74.4530029296875,75.91200256347656,73.082000732421875,81.4078369140625,75.322967529296875,87.42295837402344,74.029998779296875,-18797,97.63516998291016,NA,43451664,30.6470832824707,63.33544540405273,6.017469882965088,18.24365615844727,26.26700019836426,73.733001708984375,97651,4571,31.02722930908203,0.699999988079071,41.29999923706055,NA,NA,NA,11.01399230957031,45.33050918579102,20.80200004577637,12.2480001449585,10.21100044250488,50.80099868774414,31.11300086975098,26.90500068664551,25.75757598876953,34.38171768188477,93.78167724609376,56.25389099121094,121.9324798583984,4.776766777038574,4.077913284301758,43.39908599853516,0.2113766223192215,66.4000015258789,62,5.437755107879639,0.4545438885688782,0.5642451047897339,0.5982785820960999,0.4346720576286316,0.4392635822296143,0.4044066965579987,0.4815239608287811,0.5385481119155884,0.385681539773941,0.7404003143310547,0.489539235830307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,Andorra,20,Andorra,AND,232,QoGBasCSjan24,NA,1,2,14.544423,NA,1,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,1,98,3,2,2,2,2,8,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.329048,55.015717,21.71752,86.264061,NA,0.7177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,1,12,14,11,15,1,15,1,NA,NA,NA,NA,1,NA,NA,23,53,NA,NA,NA,0,5,NA,NA,68.33000183105469,NA,NA,NA,NA,NA,NA,NA,NA,46.40000152587891,NA,8049,84,NA,NA,NA,0,1,1,0,0,0.134176601589367,0,NA,NA,NA,NA,NA,NA,NA,47416324,68.79000091552734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.84799999,12.97799968719482,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2660053,1.7494141,1.5885718,1.6162784,100,100,100,NA,37.98792266845703,1.635957479476929,470,NA,NA,7,NA,48.45559692382813,NA,5.777147769927979,3.900000095367432,NA,3.344320058822632,3.515959978103638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.856162786483765,6.938821315765381,21.42038917541504,25.3067798614502,5.641059875488281,NA,NA,NA,NA,NA,NA,34.04255294799805,0.5594427585601807,34394.4140625,NA,12.66015815734863,88.71708679199219,NA,96.46275329589844,15.09827041625977,NA,2.574002504348755,NA,NA,NA,NA,93.20565032958984,NA,NA,NA,NA,NA,NA,NA,NA,1474,NA,NA,77700,13.33462047576904,72.47039794921875,14.19498062133789,165.3191528320313,12.08399963378906,87.91600036621094,NA,5,NA,28.29999923706055,35.29999923706055,NA,NA,NA,62.56241989135742,NA,NA,NA,NA,NA,NA,NA,46.42856979370117,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.002002,2.5065064,2.441767,2.5771947,1.8827727,2.2360122,2.8829999,1.9574037,2.2449999,2.2077923,9.1126623,6.6112223,0.64099997,3.2898407,2.0349302,2.7103934,1.3360488,3.6813626,2.6357214,1.8304914,1.751004,6.561316,4.0896416,0.25574425
24,Angola,24,Angola,AGO,540,QoGBasCSjan24,5.6347895,1,8,62.103325,173.4948883056641,0,46,4,4,NA,3,4,5.5,4,4.599999904632568,4,3,3,4,6,4,3.821428537368774,8,3,4,4.5,5,3.75,3,2,2,3,4,3,4,0.6744999885559082,2,1,1,1,96,2,1,0,1,1,5,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,44.303589,42.575783,50.81934,32.604412,0.92339748,0.37889999,NA,NA,NA,20.5,30.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,3,7,2,3,6,5,3,62,2,5.514385223388672,5.53000020980835,3,3,NA,22,22,NA,0.537,1.917999982833862,7,4,30,0.39583334,44.81999969482422,NA,25.79999923706055,25,41.09999847412109,38.90000152587891,54.09999847412109,38,44.40000152587891,30,NA,17553,405,NA,7771.44189453125,NA,1,1,1,1,0.425228661821526,0.4283643759996893,44.34624572755408,65.05000305175781,16,-2,3.7916665,33.163265,1.4819844,31.82529449462891,8053051,57.16999816894531,-1.1359863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,0.5801,0.25979999,0.58999997,9.413800239562988,0.5789999961853027,0.1829999983310699,0.1449999958276749,0.7379999756813049,0.1770000010728836,1.33299994468689,0.1019999980926514,0.3490000069141388,0.5083133578300476,-0.93867254,-1.2583939,-0.60072601,-0.95099938,46.9554443359375,7.33344841003418,73.5654067993164,0.8369618058204651,91.92596435546876,4.305767059326172,1246700,NA,51000000,39.27099990844727,NA,0.3635103404521942,NA,0.5927429795265198,7.821000099182129,NA,NA,NA,4.513508796691895,59.20555877685547,66.18408203125,52.20917892456055,7.494998931884766,1.416061997413635,13.58952045440674,33.2994384765625,32.39984893798828,34.20132064819336,2.744996547698975,6.467226505279541,NA,NA,NA,1.700178146362305,-3.715002536773682,0.1801592409610748,5.370999813079834,NA,NA,53.42695236206055,9.94654369354248,2346.845947265625,6029.69189453125,45.67824172973633,88.57486724853516,NA,NA,11.06135940551758,51.29999923706055,NA,25000,NA,NA,NA,32.55014801025391,49.8120231628418,62.26100158691406,64.98200225830078,59.58399963378906,72.4000015258789,62.5,82.80000305175781,83.30000305175781,7557,NA,NA,33428486,45.30660247802734,52.10342407226563,2.589975118637085,26.81357574462891,33.17499923706055,66.82499694824219,25791,8196,66.26393127441406,NA,NA,NA,NA,10.09038543701172,0.3564744293689728,55.37581634521484,9.895999908447266,10.35000038146973,10.80099964141846,17.8169994354248,17.96699905395508,18.11800003051758,30,18.81977081298828,67.71697998046875,38.11248779296875,43.13051986694336,4.056840896606445,3.24653148651123,36.242431640625,0.3997340202331543,54.79999923706055,NA,NA,0.4257639050483704,0.4427473247051239,0.4979982376098633,0.3596514165401459,0.4900507628917694,0.3509725034236908,0.4195772409439087,0.510638415813446,0.3733111321926117,0.5983771681785583,0.4681336283683777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,Antigua and Barbuda,28,Antigua and Barbuda,ATG,58,QoGBasCSjan24,NA,1,3,34.412971,NA,1,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4659999907016754,2,2,1,1,1,3,2,2,2,2,8,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.088898,55.722805,33.127762,80.533539,2.9243858,0.61129999,NA,NA,NA,55.799999,52.400002,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2,12,15,8,13,2,14,1,NA,NA,NA,NA,NA,NA,NA,33,17,NA,NA,NA,5,10,NA,NA,70.339996337890625,NA,NA,NA,NA,NA,NA,NA,NA,11.10000038146973,52.90000152587891,159,5,NA,NA,NA,3,1,1,0,0,0.0013240231462322,100,75.51000213623047,NA,NA,5.5,NA,NA,0.0971179977059364,36220492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.78799999,16.80839920043945,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.23853327,-0.20448671,0.92950493,0.40797353,100,100,100,NA,40.62158584594727,9.090909004211426,440,NA,0,12.15999984741211,NA,8.633341789245605,3.783888101577759,5.121730327606201,5.960999965667725,NA,48.76025009155273,17.97352027893066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.880490303039551,9.27350902557373,NA,NA,NA,NA,5.451310634613037,0.1683931648731232,1.569000005722046,NA,NA,18.45454597473145,2.142180919647217,14433.8798828125,18787.564453125,20.4425048828125,112.1222381591797,70.25360107421875,120.9359588623047,NA,NA,9.712510108947754,1400,NA,NA,NA,95.68550872802734,NA,78.84100341796875,81.31600189208984,76.06099700927734,NA,NA,NA,NA,0,95.69547271728516,88.78981018066406,92664,19.08238410949707,71.11283874511719,9.80477809906006,210.6000061035156,75.56700134277344,24.4330005645752,NA,108,NA,NA,NA,NA,NA,NA,29.13752937316895,88.54829406738281,NA,NA,NA,NA,NA,NA,11.11111068725586,NA,NA,NA,NA,NA,NA,NA,NA,67,NA,NA,0.6065371632575989,0.6597196459770203,0.7863309979438782,0.5611376762390137,0.6827466487884521,0.5755829811096191,0.6182105541229248,0.8283136487007141,0.2950635850429535,0.7835142016410828,0.7271885275840759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,Azerbaijan,31,Azerbaijan,AZE,373,QoGBasCSjan24,NA,1,14,39.614124,283.3872985839844,0,30,3,3,NA,2,4,7,3,3.583333253860474,6,6,6,2,2,3,5.357142925262451,8,2,2.25,4.5,2,3,2,5,5,2,5,5,5.5,0.7105000019073486,2,2,1,1,3,1,0,0,0,0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,68.429787,65.79084,71.578484,56.737286,2.2209749,0.69370002,8.699999809265137,5.599999904632568,2.400000095367432,30.700001,38.599998,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,0,2,0,5,7,0,3,35,3,6.983285903930664,5.940000057220459,4,4,15,11,3,1.32155966758728,0.301,2.046000003814697,0,1,57,0.3611111,46.84000015258789,74.23999786376953,NA,NA,NA,NA,NA,NA,NA,17.39999961853027,NA,218700,2641,NA,16628.0546875,NA,1,1,1,1,0,0.583659516329386,0,NA,23,-7,2.1607141,35.912697,NA,10.0477180480957,1403086976,39.40000152587891,-2.3417499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,0.3822,0.1399,0.73000002,9.83839988708496,0.9390000104904176,0.0399999991059303,0.1159999966621399,0.6340000033378601,0.0659999996423721,0.7689999938011169,0.0649999976158142,0.1940000057220459,0.1576702743768692,-1.0770841,-0.15556385,-0.85224748,-0.7307201,100,100,100,1.587482929229736,44.29102325439453,25.21961212158203,82646,NA,37000000,12.5,12.10000038146973,19.40188217163086,1.299795866012573,3.398849487304688,7.5,22.18999862670898,0.9549199938774108,10.0272102355957,11.83625984191895,34.84196090698242,40.03535842895508,29.83057022094727,14.95153999328613,6.917437076568604,22.70405960083008,50.20650100708008,53.04716110229492,47.46533966064453,4.33204984664917,9.802010536193848,NA,NA,16.40216064453125,5.390494823455811,1.187903881072998,1.93305230140686,1.700000047683716,16.5,9.699999809265137,13.69419002532959,6.73894739151001,5083.56103515625,13726.76953125,41.95632171630859,98.23606872558594,44.68513107299805,81.75826263427734,36.15219879150391,NA,2.236277103424072,140,84000,735000,5.800000190734863,84.5999984741211,49.76625442504883,66.86799621582031,70.99800109863281,62.98600006103516,99.79598236083984,99.72675323486328,99.86824035644533,99.933929443359375,1084,92.42466735839844,88.532562255859375,10093121,24.22410583496094,69.30438232421875,6.471513748168945,122.1247406005859,43.60300064086914,56.39699935913086,1572,101468,66.9699935913086,0.1000000014901161,47.90000152587891,NA,NA,15.18557262420654,16.06899261474609,72.01786804199219,8.38700008392334,7.159999847412109,5.943999767303467,20.53400039672852,17.40399932861328,14.5939998626709,17.35537147521973,38.33138275146484,96.9773406982422,62.71789169311523,103.9214172363281,5.774840354919434,5.083663940429688,65.82981872558594,0.7008140683174133,63.59999847412109,69,5.173389434814453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5148568,2.9748693,2.919826,3.3358467,2.7415929,2.5491452,2.7484965,3.1338675,2.1819358,2.570622,NA,8.6898451,7.270813,0.98540705,3.0282469,2.6347494,NA,1.7040551,3.4844151,2.4878035,3.0057688,NA,NA,3.6479604,0.28228229
