country,arableague,normpolity,countrycode,countrycode_qog,islam1100,half1900,africa,americas,asia,europe,oceania,fuelendowed,pmuslim,muslimmajority,womeninparl,alcohol,cereal,religiosity,noyouth2010,unemp2010,thriving2010,fertility,fertilitydif,normfreedom,mecca,desert,govtexp,tradeunions,accesstocredit,lrain
Iran,0,.15000001,IRN,IRN,1,1,0,0,1,0,0,1,.99400002,1,.029999999,1.02,.0071534212,.6172895776359786,,,,4.6999998,-.33950714,.16666667,.18912774,.74400002,19.200499,0,.33333334,5.4293456
Turkey,0,.85000002,TUR,TUR,.700885,1,0,0,1,0,0,0,.98000002,1,.090000004,2.8699999,.22900684,.6537733617222585,,,,2.0999999,-.762140052,.66666669,.20042861,.045000002,24.793606,.0052417773,.33333334,6.3851943
Iraq,1,.64999998,IRQ,IRQ,1,1,0,0,1,0,0,1,.99000001,1,.25,.40000001,.055458751,.7090003557452832,.78705883,.25296018,.13704368,2.0999999,-.421213465,.25,.13456494,.81599998,76.058929,0,.22222222,5.3752785
Egypt,1,.34999999,EGY,EGY,.935947,1,1,0,0,0,0,0,.94599998,1,.02,.37,.000161966,,.67308784,.081021085,.1163659,2.7,-.6931471809999999,.25,.11565591,0,29.874945,0,.22222222,3.9318256
Syria,1,.15000001,SYR,SYR,1,1,0,0,1,0,0,0,.92199999,1,.12,1.4299999,.094232112,.6956850053937366,.55053908,.049008168,.06274008,2.9000001,-.895384047,.083333336,.15110661,.74599999,28.299845,0,0,5.529429
Lebanon,1,.85000002,LBN,LBN,1,1,0,0,1,0,0,0,.59299999,1,.029999999,2.23,.069902912,.6945477075588485,.83850265,.050766282,.2275698,3.2,-.559615788,.5,.14372255,.199,30.481928,0,.33333334,6.4937539
Jordan,1,.34999999,JOR,JOR,1,1,0,0,1,0,0,0,.98199999,1,.059999999,.70999998,.002886964,.7171286425017738,.26923078,.11111111,.30427253,2.5999999,-.109199292,.25,.11296777,.94499999,32.383804,.035211269,.33333334,4.7095304
Israel,0,1,ISR,ISR,1,1,0,0,1,0,0,0,.16700001,0,.18000001,2.8900001,.19366682,.4382373845060416,,,,1.4,-.133531393,.91666669,.12267652,.59400004,30.839788,.0040766406,.8888889,6.075346
Saudi Arabia,1,0,SAU,SAU,1,1,0,0,1,0,0,1,.97000003,1,,.25,0,.7770562770562782,,.06067678,.4455899,2.8,-.944461609,.083333336,.05681004,.99400002,37.587009,0,.44444445,4.0775375
Yemen,1,.40000001,YEM,YEM,1,1,0,0,1,0,0,0,.991,1,,.2,0,.7694770544290194,.67892015,.13821138,.1304097,5.1999998,-.548565952,.25,.10322158,.98100001,24.531334,.027247956,.22222222,5.1179938
Kuwait,1,.15000001,KWT,KWT,1,1,0,0,1,0,0,1,.94999999,1,.079999998,.1,0,.8340440653873483,,.028571429,.470305,2.9000001,-.321583624,.5,.11743309,.94599998,36.914085,.0058445353,.33333334,4.7957907
Bahrain,1,.1,BHR,BHR,1,1,0,0,1,0,0,1,.81199998,1,.029999999,3.6600001,,,,.076294281,.28688523,2.5,-.672944473,.25,.12073835,,31.42803,.037878789,.33333334,4.4188404
Qatar,1,0,QAT,QAT,1,1,0,0,1,0,0,1,.77499998,1,,1.25,0,.8814270724029393,.16377172,.13398694,.55696201,2.3,-.924948795,.25,.12396455,.92300004,21.87067,0,.33333334,4.3040652
UAE,1,.1,ARE,ARE,1,1,0,0,1,0,0,1,.76199996,1,.23,.54000002,0,.8598524762908325,.09967497,.09036658,.56267565,1.7,-1.155770703,.25,.15166205,.97300005,28.734991,0,.33333334,4.356709
Oman,1,.1,OMN,OMN,1,1,0,0,1,0,0,1,.87699997,1,,.94,0,,,,,2.3,-1.283346392,.25,.1695728,.98500001,34.74551,0,.33333334,4.8283138
Turkmenistan,0,.050000001,TKM,TKM,.87932098,1,0,0,1,0,0,0,.93099999,1,.17,4.6300001,.0015776909,,,,,2.4000001,-.733969175,0,.27069494,.84099996,16.887968,0,,5.0814042
Tajikistan,0,.34999999,TJK,TJK,.74836397,1,0,0,1,0,0,0,.84099996,1,.19,3.3900001,.079008192,.5666192508297712,,,,3.3,-.546543706,.25,.35330892,.384,26.220587,0,.22222222,6.5381398
Kyrgyzstan,0,.85000002,KGZ,KGZ,.068732001,1,0,0,1,0,0,0,.86300004,1,.25999999,5.0900002,.022933468,.50312524725057,,,,2.7,-.84729786,.25,.39382955,.21600001,30.444443,0,1,6.2785215
