country,arableague,normpolity,countrycode,countrycode_qog,islam1100,half1900,africa,americas,asia,europe,oceania,fuelendowed,pmuslim,muslimmajority,womeninparl,alcohol,cereal,religiosity,noyouth2010,unemp2010,thriving2010,fertility,fertilitydif,normfreedom,mecca,desert,govtexp,tradeunions,accesstocredit,lrain
Spain,0,1,ESP,ESP,.36866799,0,0,0,0,1,0,0,.0099999998,0,.37,11.62,.10992163,.391852639036486,,,,1.4,-.451985124,1,.45918655,.068999998,43.083931,.0026024724,.55555558,6.4551988
Portugal,0,1,PRT,PRT,.27754799,0,0,0,0,1,0,0,.001,0,.27000001,14.55,.34886104,.5330318347078115,,,,1.3,-.526093096,1,.49900112,.0040000002,49.441917,.0041339397,.22222222,6.7499313
Germany,0,1,DEU,DEU,0,0,0,0,0,1,0,0,.050000001,0,.33000001,12.81,.6057117,.3912774239207366,,,,1.4,0,1,.4167265,0,45.274181,.00027555801,.66666669,6.5510802
Poland,0,1,POL,POL,0,0,0,0,0,1,0,0,.0099999998,0,.2,13.25,.55194783,.6574212360429545,,,,1.4,-.496436886,1,.38338199,0,20.740881,.0037608123,.8888889,6.3969297
Austria,0,1,AUT,AUT,0,0,0,0,0,1,0,0,.041999999,0,.28,13.24,.29339239,.4649449769258082,,,,1.4,-.133531393,1,.37037075,.0060000001,51.634907,.0023523876,.66666669,7.0121155
Hungary,0,1,HUN,HUN,0,0,0,0,0,1,0,0,.0020000001,0,.090000004,16.27,.71920115,.3846761453396519,,,,2.2,-.127833372,1,.33948126,0,52.792431,.027045302,.66666669,6.3784261
Czech Republic,0,.89999998,CZE,CZE,0,0,0,0,0,1,0,0,0,0,.22,16.450001,.65262353,.2508132169149105,,,,1.5,-.336472237,1,.38090226,0,44.044487,.0045392644,.55555558,6.5176711
Slovak Republic,0,1,SVK,SVK,0,0,0,0,0,1,0,0,0,0,.15000001,13.33,.43946001,.4934175882043186,,,,1.4,-.496436886,1,.35244852,0,40.679012,.010288066,.8888889,6.7141705
Italy,0,1,ITA,ITA,0,0,0,0,0,1,0,0,.0099999998,0,.20999999,10.68,.36778387,.5902173143625664,,,,2.3,-.475423697,.91666669,.35010368,.0060000001,49.955475,.001335708,.22222222,6.7238326
Albania,0,.94999999,ALB,ALB,0,1,0,0,0,1,0,0,.79900002,1,.16,6.6799998,.23647933,,,,,1.5,-.980829253,.66666669,.28688291,.001,25.601503,.15037593,.8888889,7.3031702
